,code,report_type,finyear,report_url
0,2501003,NICRejectedTransactionsURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=ARIANKUPPAM&block_code=2501003&fin_year=2015-2016&typ=R&mode=B&source=national&Digest=v9sJMNE+VRg0+KzQqnwxAA
1,2501001,NICRejectedTransactionsURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=VILLIANUR&block_code=2501001&fin_year=2015-2016&typ=R&mode=B&source=national&Digest=QZepm7T+NWn9h+xsUDP9UA
2,2502001,NICRejectedTransactionsURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=KARAIKAL&district_code=2502&block_name=KARAIKAL&block_code=2502001&fin_year=2015-2016&typ=R&mode=B&source=national&Digest=1sikWaitssYkJbAP+XVyEg
3,2501003,NICRejectedTransactionsURL,17,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=ARIANKUPPAM&block_code=2501003&fin_year=2016-2017&typ=R&mode=B&source=national&Digest=BXQoigUYSQDkYDAnvf3vXQ
4,2501001,NICRejectedTransactionsURL,17,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=VILLIANUR&block_code=2501001&fin_year=2016-2017&typ=R&mode=B&source=national&Digest=sbsRIwQZeUCaYbPXqekpZQ
5,2502001,NICRejectedTransactionsURL,17,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=KARAIKAL&district_code=2502&block_name=KARAIKAL&block_code=2502001&fin_year=2016-2017&typ=R&mode=B&source=national&Digest=Ve6q02aZsYjeNJtoKAFR%2FQ
6,2502001,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=KARAIKAL&district_code=2502&block_name=KARAIKAL&block_code=2502001&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=AJWIRF7rSHwmlgp5pHAQQg
7,2501003,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=ARIANKUPPAM&block_code=2501003&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=G%2FyeAVvzECAOoIdEIoC64w
8,2501001,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=VILLIANUR&block_code=2501001&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=3Jgh0bh8CUZAolIyejAZBw
9,2502001,NICRejectedTransactionsURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=KARAIKAL&district_code=2502&block_name=KARAIKAL&block_code=2502001&fin_year=2018-2019&typ=R&mode=B&source=national&Digest=TBmB6Cz8iqYMydHheJLcTg
10,2501003,NICRejectedTransactionsURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=ARIANKUPPAM&block_code=2501003&fin_year=2018-2019&typ=R&mode=B&source=national&Digest=BDUfjPezz%2FpEDCBqotiReA
11,2501001,NICRejectedTransactionsURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=VILLIANUR&block_code=2501001&fin_year=2018-2019&typ=R&mode=B&source=national&Digest=f81THY62UhL1OxfxHX2TIg
12,2502001,NICRejectedTransactionsURL,20,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=KARAIKAL&district_code=2502&block_name=KARAIKAL&block_code=2502001&fin_year=2019-2020&typ=R&mode=B&source=national&Digest=jKSG+4qb601hD45CT%2FtPQg
13,2501003,NICRejectedTransactionsURL,20,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=PUDUCHERRY&state_code=25&district_name=PONDICHERRY&district_code=2501&block_name=ARIANKUPPAM&block_code=2501003&fin_year=2019-2020&typ=R&mode=B&source=national&Digest=3KztgaA9qmCB2WKzNVZa9A
