,code,report_type,finyear,report_url
0,1413012,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=JAMMU&district_code=1413&block_name=AKHNOOR&block_code=1413012&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=QzJ7198qa5v+EPmBRjarNA
1,1408013,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=KARGIL&district_code=1408&block_name=BARSOO&block_code=1408013&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=M+wCl6VcAfLYdg2TIamOlQ
2,1408015,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=KARGIL&district_code=1408&block_name=SODH&block_code=1408015&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=qpqouefwWDHMVo0HIZQ4+w
3,1408013,NICRejectedTransactionsCoBankURL,19,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=KARGIL&district_code=1408&block_name=BARSOO&block_code=1408013&fin_year=2018-2019&typ=R&mode=C&source=national&Digest=ub8nkbSexveSU4EhvG32zg
4,1404007,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=BADGAM&district_code=1404&block_name=B.K.PORA&block_code=1404007&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=dHPfZan%2FGVJh+95Knk0a8A
5,1419012,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=BANDIPORA&district_code=1419&block_name=ALOOSA&block_code=1419012&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=ZE5s0WqlKPE8CKCme8c0FQ
6,1405010,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=PULWAMA&district_code=1405&block_name=ARPAL&block_code=1405010&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=hCyQe%2F9ltYRaOd7PcdNaxw
7,1420001,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=GANDERBAL&district_code=1420&block_name=GANDERBAL&block_code=1420001&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=k%2FmTRkykrqysNNHuFlGJkw
8,1404001,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=BADGAM&district_code=1404&block_name=BADGAM&block_code=1404001&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=SopQARBumqnxOv5xFsCsNw
9,1406012,NICRejectedTransactionsURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=JAMMU+AND+KASHMIR&state_code=14&district_name=ANANTNAG&district_code=1406&block_name=Achabal&block_code=1406012&fin_year=2017-2018&typ=R&mode=B&source=national&Digest=5rHKeuPX90kigOvZXjMX+g
