,code,report_type,finyear,report_url
0,1719003,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=AGAR-MALWA&district_code=1751&block_name=BADOD&block_code=1719003&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=0xhCTzN%2Fbxi4tlFw9j6LhA
1,1748002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=ASHOK+NAGAR&district_code=1748&block_name=CHANDERI&block_code=1748002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=vcpKu0xMoYHOSxLBWI++hQ
2,1748005,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=ASHOK+NAGAR&district_code=1748&block_name=ASHOKNAGAR&block_code=1748005&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=iKvnsvdk9ZTYv6mpDwIx%2FA
3,1728001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=BHOPAL&district_code=1728&block_name=BERASIA&block_code=1728001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=5mSe%2FOwYsUQHrQtzzi%2F%2FmA
4,1742001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=BARWANI&district_code=1742&block_name=BARWANI&block_code=1742001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=7zAo1M3eC5TkcWK4p+FDRw
5,1721006,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=ALIRAJPUR&district_code=1749&block_name=BHABRA&block_code=1721006&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=J+rpz%2FaE3Qzg8+NCWMvIgA
6,1746002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=ANUPPUR&district_code=1746&block_name=ANUPPUR&block_code=1746002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=lWb%2FGBacl7Nad7F0j4P+bA
7,1731009,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=BETUL&district_code=1731&block_name=MULTAI&block_code=1731009&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=c96BopCE%2Fg07nHlGaFYnig
8,1742002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=BARWANI&district_code=1742&block_name=PATI&block_code=1742002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=h7M+kpdLoTwIQoZP6p74sA
9,1746003,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=ANUPPUR&district_code=1746&block_name=JAITHARI&block_code=1746003&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=N+xT2wb9avd+PhF%2FOkXEZw
10,1721009,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=ALIRAJPUR&district_code=1749&block_name=KATTHIWADA&block_code=1721009&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=B5IYRXT1ptwsZsI73tY3aA
11,1747008,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=BURHANPUR&district_code=1747&block_name=KHAKNAR&block_code=1747008&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=sUsq8LhuK2Zu9x2uhQafYw
12,1746004,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=ANUPPUR&district_code=1746&block_name=PUSHPRAJGARH&block_code=1746004&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=nr41W4lrm727GSqd+GoXtQ
13,1721011,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=ALIRAJPUR&district_code=1749&block_name=SONDWA&block_code=1721011&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=dknzyEOLX80A4O9N4JaSaA
14,1747009,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=BURHANPUR&district_code=1747&block_name=BURHANPUR&block_code=1747009&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=xR4RS54+xhMAUhVpczZ6GA
15,1738001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=MADHYA+PRADESH&state_code=17&district_name=BALAGHAT&district_code=1738&block_name=KATANGI&block_code=1738001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=q%2Fzt+pfkEg5%2FjuuH2gzLyg
