,code,report_type,finyear,report_url
0,2802001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=EAST+DISTRICT&district_code=2802&block_name=GANGTOK&block_code=2802001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=jojnD1h5ACCpVFhQVfzz5A
1,2802001,NICRejectedTransactionsCoBankURL,17,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=EAST+DISTRICT&district_code=2802&block_name=GANGTOK&block_code=2802001&fin_year=2016-2017&typ=R&mode=C&source=national&Digest=hSvz%2FFFEWJYqvKKBD83Jog
2,2802002,NICRejectedTransactionsCoBankURL,17,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=EAST+DISTRICT&district_code=2802&block_name=PAKYONG&block_code=2802002&fin_year=2016-2017&typ=R&mode=C&source=national&Digest=cLZ3Nq%2FKQE3z2Qr0lXc4Ng
3,2803001,NICRejectedTransactionsCoBankURL,17,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=SOUTH+DISTRICT&district_code=2803&block_name=NAMCHI&block_code=2803001&fin_year=2016-2017&typ=R&mode=C&source=national&Digest=nHPZshhqgNkekMOOmaRpDA
4,2801004,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=NORTH+DISTRICT&district_code=2801&block_name=DZONGU&block_code=2801004&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=u+q0mcZALLBkOPd5bq1KMw
5,2801002,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=NORTH+DISTRICT&district_code=2801&block_name=MANGAN&block_code=2801002&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=sAMGmSbha1jSkCuk2RN63Q
6,2802003,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=EAST+DISTRICT&district_code=2802&block_name=DUGA&block_code=2802003&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=zjKqY0GTitfb%2F3na+38deA
7,2803005,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=SOUTH+DISTRICT&district_code=2803&block_name=MELLI&block_code=2803005&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=7FjaWJIBkyv4rhYIzuK1Iw
8,2804009,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=WEST+DISTRICT&district_code=2804&block_name=Chumbong&block_code=2804009&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=ZRIQxpyD95PP%2FnBZveXFlw
9,2802001,NICRejectedTransactionsCoBankURL,18,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=SIKKIM&state_code=28&district_name=EAST+DISTRICT&district_code=2802&block_name=GANGTOK&block_code=2802001&fin_year=2017-2018&typ=R&mode=C&source=national&Digest=7+4HFlOiJ5TTkigH5L0VEw
