,code,report_type,finyear,report_url
0,3207001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=JALPAIGURI&district_code=3207&block_name=RAJGANJ&block_code=3207001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=rRTUEIvGCLRNA4XqZB7+OA
1,3207002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=JALPAIGURI&district_code=3207&block_name=JALPAIGURI&block_code=3207002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=pyaDKzXwM%2FY9bcnVN90O9Q
2,3207004,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=JALPAIGURI&district_code=3207&block_name=DHUPGURI&block_code=3207004&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=BtBVEmxkEpHjknW3yXf54g
3,3217001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+DAKSHIN&district_code=3217&block_name=Balurghat&block_code=3217001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=e6L9Y5Ol0xmeIQSavCVncA
4,3204003,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=SILIGURI+MAHAKUMA+PARISAD&district_code=3204&block_name=Phansidewa&block_code=3204003&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=i2Wtl%2FTI83XBpiGI7x01OA
5,3207005,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=JALPAIGURI&district_code=3207&block_name=MAL&block_code=3207005&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=K2Rp5L4xKNwIyOoX1JZJig
6,3217002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+DAKSHIN&district_code=3217&block_name=Hili&block_code=3217002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=JSwkn+nszQDx+SdDaQKg6g
7,3208010,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=COOCHBEHAR&district_code=3208&block_name=MATHABHANGA-I&block_code=3208010&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=aVsS9oBSH7PKeaKYq6P6+w
8,3207006,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=JALPAIGURI&district_code=3207&block_name=MATIALI&block_code=3207006&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=%2FLb5qgN6WWF4wF33K4eH5g
9,3217006,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+DAKSHIN&district_code=3217&block_name=Bansihari&block_code=3217006&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=iqCFQNO4NGCOa4q7nMUmNg
10,3207007,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=JALPAIGURI&district_code=3207&block_name=NAGRAKATA&block_code=3207007&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=gycCWNroPW42mGr35PbpOQ
11,3217008,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+DAKSHIN&district_code=3217&block_name=Kushmandi&block_code=3217008&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=dx4gV9uHYoZeBizSKZ0yPw
12,3218001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=CHOPRA&block_code=3218001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=WMm7a%2FnelBSb5nhrCt325Q
13,3218002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=ISLAMPUR&block_code=3218002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=3PO5Pt%2FUyBgI4u73uDdvxQ
14,3218003,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=GOALPOKHAR-I&block_code=3218003&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=f3DpgEtz3tVyLbruIDnWwA
15,3218004,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=GOALPOKHAR+II&block_code=3218004&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=WUtcIRN50W32TDcpGZ6rnA
16,3218005,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=KARANDIGHI&block_code=3218005&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=6EYH6OwbW60yKZmw+XCz2g
17,3218006,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=RAIGANJ&block_code=3218006&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=SdvvgM8UGHbJ3647MxCwnw
18,3219005,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=Darjeeling+Gorkha+Hill+Council+%28DGHC%29&district_code=3219&block_name=KALIMPONG-I&block_code=3219005&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=5R%2FPMCODMy8QmpHgYjWzsA
19,3218007,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=HEMTABAD&block_code=3218007&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=v0B7epJxEMYJmPg03Xd9Qg
20,3219006,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=Darjeeling+Gorkha+Hill+Council+%28DGHC%29&district_code=3219&block_name=KALIMPONG-II&block_code=3219006&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=YcrwAH3eDgkKz7YT+gUgJQ
21,3218008,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=KALIAGANJ&block_code=3218008&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=X1BJvjQHinuemN2uEwyy%2FA
22,3218009,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=DINAJPUR+UTTAR&district_code=3218&block_name=ITAHAR&block_code=3218009&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=Z05xaUVF9JGkWgxHXUkAWw
23,3219007,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=Darjeeling+Gorkha+Hill+Council+%28DGHC%29&district_code=3219&block_name=GARUBATHAN&block_code=3219007&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=89lSdNaFLk+ANXJ6BfI9GQ
24,3205010,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=HOWRAH&district_code=3205&block_name=UDAYNARAYANPUR&block_code=3205010&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=9fMcyGqeT2XlDY8AoudXTw
25,3219008,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=Darjeeling+Gorkha+Hill+Council+%28DGHC%29&district_code=3219&block_name=KURSEONG&block_code=3219008&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=7jKRcLt4vNIdImJcPOsRHw
26,3219010,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=Darjeeling+Gorkha+Hill+Council+%28DGHC%29&district_code=3219&block_name=DARJEELING+PULBAZAR&block_code=3219010&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=j18WOB4kquPtOM4Ogg3HCg
27,3219011,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=&flg=W&page=d&state_name=WEST+BENGAL&state_code=32&district_name=Darjeeling+Gorkha+Hill+Council+%28DGHC%29&district_code=3219&block_name=RONGLI+RONGLIOT&block_code=3219011&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=HwbbflzjhnUm8AKZ9Z7TVQ
