,code,report_type,finyear,report_url
0,1605011,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=MALAPPURAM&district_code=1605&block_name=Thanur&block_code=1605011&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=ry8lW2oqzqXfkLxWcWDNPw
1,1603001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=WAYANAD&district_code=1603&block_name=KALPETTA&block_code=1603001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=oAhc9EAPW4axdXqtgR6Z9A
2,1603002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=WAYANAD&district_code=1603&block_name=MANANTHAVADY&block_code=1603002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=7nqmLN+5nhlssFY8iXLPsQ
3,1603003,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=WAYANAD&district_code=1603&block_name=Panamaram&block_code=1603003&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=iJVJUe%2F76ZescEd1inTXsQ
4,1603004,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=WAYANAD&district_code=1603&block_name=SULTHAN+BATHERY&block_code=1603004&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=SHRuRTutEgpgAiBtFEHF3w
5,1604001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=KOZHIKODE&district_code=1604&block_name=Balusseri&block_code=1604001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=pJBitOrgTFkqoSe9rPEMTg
6,1604002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=KOZHIKODE&district_code=1604&block_name=Chelannur&block_code=1604002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=qdDZEtbX0EbUIsLlqILIOQ
7,1604003,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=KOZHIKODE&district_code=1604&block_name=Koduvally&block_code=1604003&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=gX5f2zLjwWfWEgnYoT0FFw
8,1604004,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=KOZHIKODE&district_code=1604&block_name=KOZHIKODE&block_code=1604004&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=IQCLEicF5FABFQDHPEQD1A
9,1604005,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=KERALA&state_code=16&district_name=KOZHIKODE&district_code=1604&block_name=Kunnamangalam&block_code=1604005&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=+Y0B55pTE22EDrMFOqIkiw
