,code,report_type,finyear,report_url
0,3410004,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=EAST+SINGHBUM&district_code=3410&block_name=POTKA&block_code=3410004&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=LYAB0msuKIkg9Jh5trJuGw
1,3410005,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=EAST+SINGHBUM&district_code=3410&block_name=MUSABANI&block_code=3410005&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=qIDFK9nkGFsIqyiFV3epmw
2,3409001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=SARAIKELA+KHARSAWAN&district_code=3409&block_name=SERAIKELLA&block_code=3409001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=IAG79pQpWfHmaVuAUj9saQ
3,3409002,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=SARAIKELA+KHARSAWAN&district_code=3409&block_name=GAMARHIA&block_code=3409002&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=2VRmxooeulkHNGyaYzYwug
4,3408001,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=WEST+SINGHBHUM&district_code=3408&block_name=Chaibasa&block_code=3408001&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=Ocpc+WrI87FTcVcgEWMD+w
5,3408003,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=WEST+SINGHBHUM&district_code=3408&block_name=Jhinkpani&block_code=3408003&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=z5DLI73d7FCAzSfwXPjiGQ
6,3408007,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=WEST+SINGHBHUM&district_code=3408&block_name=Jagannathpur&block_code=3408007&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=tGAgY8C31k6FnyssZgLaag
7,3408008,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=WEST+SINGHBHUM&district_code=3408&block_name=Noamundi&block_code=3408008&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=YXJDK8pX3QIlCb7LiGSKPw
8,3408009,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=WEST+SINGHBHUM&district_code=3408&block_name=Kumardungi&block_code=3408009&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=swMgmzWOD0upFbefYs+6dQ
9,3408010,NICRejectedTransactionsCoBankURL,16,http://mnregaweb4.nic.in/netnrega/FTO/ResponseDetailStatusReport.aspx?lflag=eng&flg=W&page=d&state_name=JHARKHAND&state_code=34&district_name=WEST+SINGHBHUM&district_code=3408&block_name=Manjhgaon&block_code=3408010&fin_year=2015-2016&typ=R&mode=C&source=national&Digest=8gLgUv5eLT0g5ef5utYcsw
